,Name,Genre,AE_Mean,AE_Std,RMS_Mean,RMS_Std,ZCR_Mean,ZCR_Std,BER_Mean,BER_Std,SC_Mean,SC_Std,BW_Mean,BW_Std,MFCC0_Mean,MFCC0_Std,MFCC1_Mean,MFCC1_Std,MFCC2_Mean,MFCC2_Std,MFCC3_Mean,MFCC3_Std,MFCC4_Mean,MFCC4_Std,MFCC5_Mean,MFCC5_Std,MFCC6_Mean,MFCC6_Std,MFCC7_Mean,MFCC7_Std,MFCC8_Mean,MFCC8_Std,MFCC9_Mean,MFCC9_Std,MFCC10_Mean,MFCC10_Std,MFCC11_Mean,MFCC11_Std,MFCC12_Mean,MFCC12_Std
0,00 Bad Company.mp4,metal,0.07731914,0.049596786,0.030780641,0.01853149,0.05622900352861562,0.025602714565480394,,,1025.9723007643727,391.23462220618825,1331.2490385973633,379.4075594203699,-321.60855,68.34965,175.2832,32.386803,-9.237503,16.619913,4.4686866,20.397213,3.451106,12.878218,-3.4702926,10.841927,-2.464897,10.078206,6.4794765,10.283336,-6.9959865,12.133472,4.8027,9.143626,-12.903431,8.17765,-5.129439,8.44399,-8.342498,7.446434
1,00 Down with the Sickness.mp4,metal,0.61952424,0.24825326,0.2642711,0.12049692,0.03076511745939675,0.02746114773812033,,,1251.3197327176165,661.3823005062114,1773.931100211369,467.0422393903835,-123.26844,102.681564,106.912125,26.099455,-8.374556,21.964207,57.50563,12.266993,12.417847,9.670952,29.381422,6.603059,9.717286,7.2565084,15.470217,5.584232,4.685089,7.1007185,8.934038,6.2278786,0.8678021,5.830038,5.8156166,4.7857327,-4.8861146,5.874538
2,00 Bodies.mp4,metal,0.6623568,0.36886084,0.24420133,0.15492056,0.16400509957463263,0.07031206746500904,,,2684.988774628461,650.9063508925645,2286.600122698381,347.86632859101144,-46.118977,135.30463,68.03733,28.113096,-29.347164,19.546822,40.08419,33.116398,-5.6898074,11.823946,11.8303175,19.453487,0.7341167,12.117982,5.668146,11.829338,-1.5867974,9.321163,3.6797872,10.694657,-1.3897603,7.2619014,4.7033954,8.714637,-7.6856275,7.98642
3,00 Duality.mp4,metal,0.73245543,0.29210886,0.31141615,0.16346994,0.10416364559164733,0.03675451719630233,,,1727.2459930837204,555.84498716172,1632.4847372337392,543.7814428717727,-24.59867,111.768265,134.70955,39.9815,-49.66294,21.594667,22.062485,25.99036,-4.2212825,11.282608,8.439414,14.460729,-6.8761783,9.809386,4.8599215,8.713341,-5.3168187,8.056004,10.053586,8.401719,-2.9478524,6.8434,5.71253,8.403464,-7.0084124,6.6542463
4,00 Before I Forget.mp4,metal,0.6064907,0.22144492,0.22983427,0.0892102,0.11369211620262955,0.04850196135659104,,,2268.9747592977574,525.5775969873281,2177.829228336655,415.98512783953436,-12.776805,75.71702,94.700874,26.037376,-27.103342,22.66322,46.768547,9.760952,-3.7361717,8.779487,13.348846,11.030587,-8.063964,6.882745,8.171692,10.686053,-4.0432506,6.196556,6.8384285,7.1238747,-5.253628,5.237369,8.928565,6.87112,-7.371834,5.7917914
5,00 Fake It.mp4,metal,0.17318745,0.13821246,0.06414374,0.046818864,0.07743166328306264,0.04199530718241622,,,1252.43527044463,621.1750919256907,1163.7008972535139,504.83193157165726,-256.5466,97.30516,151.27011,40.005775,-37.86194,30.498425,-15.222988,30.120901,-26.774704,18.870966,-10.713206,13.173847,-7.0282426,11.628707,-14.747402,10.533598,-13.818624,8.884877,-8.582682,9.304679,-15.427026,7.6760297,-9.044024,8.649508,-16.452126,6.8742085
6,00 Hail to the King.mp4,metal,0.17523453,0.12759858,0.056323636,0.045820158,0.22950880341260635,0.05601428412434015,,,2911.034105048591,473.41287274329306,1876.6877051556673,343.03140630319473,-165.45119,62.681004,53.43559,23.841639,-62.93321,23.126177,54.32351,11.239294,-28.913836,13.4767475,9.831312,8.78997,-8.593722,9.084147,-1.1858352,11.969465,1.5573846,7.779654,0.6331688,12.073653,1.6262858,7.25566,-0.30089962,8.9539385,-0.5965192,7.5464215
7,00 Bleed It Out.mp4,metal,0.4040532,0.21541534,0.12305832,0.062085323,0.17786579176334108,0.07391327393254103,,,2544.6421708111934,830.2635941489019,1928.5982314516514,519.769298475352,-103.426346,119.56367,68.47463,33.264973,-53.3684,27.847116,36.15068,20.814487,-25.967596,17.34437,2.2249544,12.894944,-19.816729,13.602589,-0.7174772,12.769607,-8.462114,11.246608,-2.617364,10.893208,-9.508325,11.264202,1.6605288,8.935833,-13.931762,9.230083
8,00 Headstrong.mp4,metal,0.5822708,0.2500245,0.21644425,0.107089244,0.10223846553557618,0.07207284317442651,,,2271.0284009964325,921.2797763824764,2340.3051229083485,560.1423440695797,-71.8952,93.98592,77.23412,31.480772,-5.9306097,22.518845,49.60486,20.99676,7.440924,11.858483,22.164015,8.9476,0.6040369,9.961091,17.57757,9.137041,0.25147069,9.755306,13.395284,8.693157,1.5114442,7.829029,7.48852,6.339415,-5.52949,8.00561
9,00 How You Remind Me.mp4,metal,0.17632852,0.12160819,0.06551542,0.04409907,0.09504755172080433,0.10086654385413422,,,1886.2250839950573,1324.4062935042355,1927.961296687691,1014.2340554506924,-241.67737,166.22453,72.78357,46.48329,-9.3279,22.74732,16.005064,21.248009,16.041986,16.496181,8.852204,13.173413,-13.5600815,15.952371,8.355287,12.598721,-17.366661,16.228718,6.1001263,13.386698,-7.1355367,12.771145,-3.9152162,9.986049,-4.8319864,8.557683
